time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m
2026-06-01 00:00:00,21.5,48,998.8,8.3,77
2026-06-01 01:00:00,21.0,49,998.5,8.2,99
2026-06-01 02:00:00,20.8,48,998.2,8.0,98
2026-06-01 03:00:00,20.6,45,997.9,8.6,91
2026-06-01 04:00:00,22.0,38,998.5,7.4,97
2026-06-01 05:00:00,24.7,29,999.0,2.3,39
2026-06-01 06:00:00,26.7,28,999.2,6.9,345
2026-06-01 07:00:00,28.0,28,999.7,8.4,353
2026-06-01 08:00:00,29.8,25,1000.0,7.9,359
2026-06-01 09:00:00,31.5,22,1000.0,7.0,357
2026-06-01 10:00:00,33.0,21,999.7,7.1,354
2026-06-01 11:00:00,34.4,19,999.2,7.7,336
2026-06-01 12:00:00,34.5,19,998.9,9.1,350
2026-06-01 13:00:00,34.8,19,998.9,10.1,329
2026-06-01 14:00:00,34.8,19,998.4,11.9,312
2026-06-01 15:00:00,34.2,19,998.1,12.8,308
2026-06-01 16:00:00,33.5,20,998.1,13.0,305
2026-06-01 17:00:00,32.3,22,998.7,11.3,346
2026-06-01 18:00:00,27.4,34,999.5,19.4,47
2026-06-01 19:00:00,26.7,36,1000.0,19.6,63
2026-06-01 20:00:00,25.6,40,1000.4,17.1,66
2026-06-01 21:00:00,24.5,42,1000.7,15.9,65
2026-06-01 22:00:00,23.7,42,1000.7,14.2,68
2026-06-01 23:00:00,23.0,43,1000.3,14.3,76
